split,statistic,count,mean,std,min,25%,50%,75%,90%,95%,99%,max
calibration,total_transformer_tokens,1927.0,11956.353399065905,18894.44006093238,10.0,3397.0,6371.0,11267.0,21354.600000000017,54674.7,95007.34000000001,142430.0
calibration,unique_selected_transformer_tokens,1927.0,1812.302542812662,735.8187105364076,10.0,1810.0,1884.0,1959.0,2005.0,2024.0,3738.2400000000002,18617.0
validation,approx_observed_whitespace_tokens,1988.0,1255.579476861167,633.7491809697243,26.0,1158.0,1299.0,1378.0,1441.3,1478.6499999999999,2534.13,13201.0
validation,approx_source_whitespace_tokens,1988.0,7953.829476861167,12058.35566961989,26.0,2309.25,4305.5,7840.75,14401.999999999993,34129.94999999999,63304.09999999999,81975.0
validation,available_chunks,1988.0,47.94818913480885,73.35567935579233,1.0,14.0,25.5,46.0,87.0,220.0,377.1299999999999,529.0
validation,chunk_length,1988.0,256.0,0.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
validation,chunk_overlap,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,content_chunk_length,1988.0,254.0,0.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0
validation,observed_character_fraction,1988.0,0.4040193896519717,0.30877414324984603,0.014625,0.16636612354441088,0.3024778655865281,0.5689735145000914,1.0,1.0,1.0,1.0
validation,observed_source_characters,1988.0,8187.74245472837,3934.513115690736,156.0,7446.0,8440.0,9030.75,9489.3,9821.25,15948.709999999981,84935.0
validation,observed_token_fraction,1988.0,0.4033596251811949,0.30850168617249174,0.014719568762052252,0.16621425304301324,0.30089852591735333,0.5650995153694331,1.0,1.0,1.0,1.0
validation,original_source_characters,1988.0,59779.67354124749,132446.91961175145,156.0,15199.75,27789.0,50921.25,89768.09999999999,222954.14999999956,658874.25,1799689.0
validation,placeholder_chunks,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,represented_text_units,1988.0,1.0442655935613683,0.4843315649475366,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0
validation,selected_chunks,1988.0,7.8279678068410465,3.665778093896205,1.0,8.0,8.0,8.0,8.0,8.0,16.0,83.0
validation,selected_model_tokens_with_specials,1988.0,1869.5387323943662,884.9424622872012,66.0,1831.0,1900.0,1976.0,2023.0,2039.0,3796.989999999997,19553.0
validation,selected_transformer_tokens,1988.0,1853.8827967806842,877.6408504343385,64.0,1815.0,1884.0,1960.0,2007.0,2023.0,3764.989999999997,19387.0
validation,source_characters,1988.0,51359.762072434605,76934.82286351219,156.0,15199.75,27789.0,50921.25,89768.09999999999,222954.14999999956,400000.0,400000.0
validation,text_units,1988.0,1.0442655935613683,0.4843315649475366,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0
validation,tokenized_text_units,1988.0,1.0442655935613683,0.4843315649475366,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0
validation,total_transformer_tokens,1988.0,12044.419014084508,18619.87570158317,64.0,3371.5,6350.0,11591.25,22023.199999999997,55737.64999999998,95667.79,134311.0
validation,unique_selected_transformer_tokens,1988.0,1853.8827967806842,877.6408504343385,64.0,1815.0,1884.0,1960.0,2007.0,2023.0,3764.989999999997,19387.0
