seed,epoch,optimizer_updates,train_loss,validation_f1_macro,validation_f1_micro,improved,best_epoch,epochs_without_improvement
13,1,1605,0.7115406518207346,0.6462886657530635,0.6521739130434783,True,1,0
13,2,3210,0.49537246254442246,0.6738880357281656,0.6838046272493573,True,2,0
13,3,4815,0.41604256670170436,0.7009767072379419,0.7129080118694362,True,3,0
13,4,6420,0.3615000252492672,0.7095618493034558,0.7227014131033217,True,4,0
13,5,8025,0.31566719850840425,0.7081741035911179,0.7263738353299106,False,4,1
13,6,9630,0.2769303293128661,0.719815218434481,0.7309963099630996,True,6,0
13,7,11235,0.24134006788235976,0.7246730388582725,0.7392290249433107,True,7,0
13,8,12840,0.21124032096896242,0.7252143150307702,0.7394485087225662,False,7,1
13,9,14445,0.1860265644721984,0.7284175879820592,0.739943342776204,True,9,0
13,10,16050,0.16728500388151857,0.7340192409964483,0.7444614209320092,True,10,0
13,11,17655,0.14664643773803673,0.7332147740581215,0.75,False,10,1
13,12,19260,0.1307218667773995,0.7372319701710909,0.7524373924679794,True,12,0
13,13,20865,0.1182980157437295,0.7361375885184742,0.7551261829652997,False,12,1
13,14,22470,0.10634428525962948,0.7418901208341532,0.7551020408163265,True,14,0
13,15,24075,0.09857769280204179,0.7403742996473867,0.757192174913694,False,14,1
13,16,25680,0.09048708536669249,0.7390545160313977,0.7569843092231152,False,14,2
42,1,1605,0.7074700816172934,0.6508536345696283,0.6519298245614035,True,1,0
42,2,3210,0.482998186822334,0.6776029518941288,0.6884650317892824,True,2,0
42,3,4815,0.40538002119211364,0.6982697350528643,0.7119013062409288,True,3,0
42,4,6420,0.34984863895136253,0.7129489606573426,0.7271716984626783,True,4,0
42,5,8025,0.3019580540917892,0.719423577398926,0.7337278106508875,True,5,0
42,6,9630,0.2641165522439284,0.7216951868443668,0.7409502262443439,True,6,0
42,7,11235,0.2288412209921223,0.7153589666221536,0.7386451116243264,False,6,1
42,8,12840,0.19958678478202038,0.7355893652404009,0.7489218076129758,True,8,0
42,9,14445,0.17508027717782018,0.7395367220631339,0.7518234524032168,True,9,0
42,10,16050,0.1548159781939875,0.736260094680872,0.7546883879522637,False,9,1
42,11,17655,0.13648037093521395,0.7335847268767548,0.7506117071334463,False,9,2
73,1,1605,0.7095846530347807,0.6481092632913804,0.6478824546240276,True,1,0
73,2,3210,0.48344553660388573,0.6716419990105297,0.6766047001052262,True,2,0
73,3,4815,0.4096789948250037,0.7010225161580248,0.7155447215450965,True,3,0
73,4,6420,0.35588019705630486,0.7072053541913998,0.7162112932604736,True,4,0
73,5,8025,0.3110681652401727,0.7130198541683922,0.7209089243173905,True,5,0
73,6,9630,0.26812543656137683,0.7197877341578491,0.7366454986925663,True,6,0
73,7,11235,0.2341044924336176,0.7220300333114668,0.734247590808006,True,7,0
73,8,12840,0.2058072393487,0.7277089740536121,0.7452901281085155,True,8,0
73,9,14445,0.17976607346881582,0.7379564432846127,0.7542404824726724,True,9,0
73,10,16050,0.1600519455678658,0.7397580799106206,0.7595752749336367,False,9,1
73,11,17655,0.1409096028075261,0.7305588937003066,0.7479023646071701,False,9,2
