model,seed,split,synthetic,subset_accuracy,hamming_loss,precision_micro,precision_macro,recall_micro,recall_macro,f1_micro,f1_macro,f1_samples,jaccard_micro,jaccard_macro,jaccard_samples,average_precision_micro,average_precision_macro,precision_at_1,recall_at_1,precision_at_3,recall_at_3,precision_at_5,recall_at_5
bm25_matched,13,calibration,False,0.5775817332641412,0.01624146201208993,0.7372153788727137,0.7407208098725268,0.8130918073281186,0.7937537894335902,0.7732967893500392,0.7552344115255128,0.7642795364123853,0.6303862112990744,0.6233358666390866,0.7167877529839128,0.8555261279568522,0.813460474069767,0.8271925272444214,0.7140200657325723,0.3862653520152222,0.9257481404601279,0.2404774260508563,0.9588738972496108
labse_matched,13,calibration,False,0.5947067981318112,0.016171334801329613,0.7387724550898204,0.7397752615786596,0.8126801152737753,0.8061707065818472,0.7739658890413644,0.7613599350349265,0.769192181283515,0.6312759833706428,0.6326325322257649,0.7254367756443523,0.8292153463157277,0.7770860656196125,0.8105864037363778,0.6974139422245287,0.38920601971977165,0.9304186126967652,0.24255319148936175,0.9642362912990833
bm25_matched,13,validation,False,0.5784708249496981,0.016300505737125454,0.7207465900933238,0.7361983091940705,0.8266776451214491,0.8102878127636723,0.7700862895493767,0.7573298252205513,0.7679194212896426,0.6261303398815092,0.6278117984068695,0.7192320590207913,0.859631461582246,0.8221739284981552,0.8259557344064387,0.727112676056338,0.380281690140845,0.9384641180415828,0.23501006036217306,0.9642857142857143
labse_matched,13,validation,False,0.5633802816901409,0.01729294687041166,0.7092224231464738,0.7145714986676592,0.8073281185673117,0.796630817183286,0.7551020408163265,0.7418901208341532,0.7464788732394366,0.6065573770491803,0.6102738375577281,0.6998658618376928,0.839004611986907,0.7913123416147304,0.8078470824949698,0.7078303152246814,0.3806170355466129,0.9361167002012073,0.23802816901408452,0.9730885311871227
bm25_matched,42,calibration,False,0.5775817332641412,0.01624146201208993,0.7372153788727137,0.7407208098725268,0.8130918073281186,0.7937537894335902,0.7732967893500392,0.7552344115255128,0.7642795364123853,0.6303862112990744,0.6233358666390866,0.7167877529839128,0.8555265175461526,0.8134604088576295,0.8271925272444214,0.7140200657325723,0.3862653520152222,0.9257481404601279,0.2404774260508563,0.9588738972496108
labse_matched,42,calibration,False,0.551634665282823,0.017573879016535995,0.7098501070663812,0.72385191395394,0.8188554960889255,0.7960546876694867,0.7604664500095584,0.7481907792763678,0.7554427064027478,0.6135101789019124,0.6171063121589225,0.7043937035115032,0.8138090293249995,0.7651339833682353,0.785158277114686,0.6773482096523092,0.3845355474831344,0.9228074727555786,0.2430721328489881,0.9706365680678084
bm25_matched,42,validation,False,0.5784708249496981,0.016300505737125454,0.7207465900933238,0.7361983091940705,0.8266776451214491,0.8102878127636723,0.7700862895493767,0.7573298252205513,0.7679194212896426,0.6261303398815092,0.6278117984068695,0.7192320590207913,0.8596322964716436,0.8221739284981552,0.8259557344064387,0.727112676056338,0.380281690140845,0.9384641180415828,0.23501006036217306,0.9642857142857143
labse_matched,42,validation,False,0.5492957746478874,0.018040676491380716,0.6888279643591501,0.699866026742192,0.8275010292301359,0.8028231438583522,0.7518234524032168,0.7395367220631339,0.7494874005940404,0.6023374288282889,0.6092929921550362,0.6984574111334675,0.8218717791163256,0.7754287624576088,0.7877263581488934,0.692488262910798,0.38061703554661297,0.9371227364185111,0.23792756539235418,0.9743460764587525
bm25_matched,73,calibration,False,0.5775817332641412,0.01624146201208993,0.7372153788727137,0.7407208098725268,0.8130918073281186,0.7937537894335902,0.7732967893500392,0.7552344115255128,0.7642795364123853,0.6303862112990744,0.6233358666390866,0.7167877529839128,0.8555261991519799,0.8134603658612707,0.8271925272444214,0.7140200657325723,0.3862653520152222,0.9257481404601279,0.2404774260508563,0.9588738972496108
labse_matched,73,calibration,False,0.5625324338349766,0.017237268404886465,0.7156721782890008,0.7286156441667566,0.8196788801976121,0.8012689186061975,0.7641527537900595,0.7562389995984004,0.7625003088936665,0.6183229813664596,0.6260095333468696,0.7123681024044284,0.8074559637441963,0.761625766247896,0.7742605085625325,0.6686126967652655,0.38263276249783773,0.9171856080262931,0.24286455630513754,0.9660525860577756
bm25_matched,73,validation,False,0.5784708249496981,0.016300505737125454,0.7207465900933238,0.7361983091940705,0.8266776451214491,0.8102878127636723,0.7700862895493767,0.7573298252205513,0.7679194212896426,0.6261303398815092,0.6278117984068695,0.7192320590207913,0.8596326847138556,0.8221739284981552,0.8259557344064387,0.727112676056338,0.380281690140845,0.9384641180415828,0.23501006036217306,0.9642857142857143
labse_matched,73,validation,False,0.5437625754527163,0.017727989558975473,0.6955161626694474,0.7007080397506771,0.8237958007410457,0.7952158479310648,0.7542404824726724,0.7379564432846127,0.747913672511258,0.605446293494705,0.6056526724866294,0.6964872568745809,0.8160204402123463,0.7701163580668815,0.7811871227364185,0.6874580818242789,0.3754191817572099,0.925637156270959,0.23692152917505033,0.971327967806841
