metric,estimate,ci_lower,ci_upper,confidence,n_resamples
f1_macro,0.8434343434343434,0.6667719780219782,0.920599626068376,0.95,50
f1_micro,0.8260869565217391,0.7450980392156863,0.9218641114982579,0.95,50
