stage,seconds,feature_set,preprocessing,representation,classifier
prediction,1.1858374749999712,abstract+keywords,,bm25,linear_svc
classifier_fit,1.6320253530002446,abstract+keywords,,bm25,sgd
prediction,0.4516223880000325,abstract+keywords,,bm25,sgd
preprocessing,61.866675842000404,abstract+fulltext,language_stopwords,,
representation_fit,123.04401967900048,abstract+fulltext,,bow,
representation_transform,11.82381740100027,abstract+fulltext,,bow,
classifier_fit,716.6809602530011,abstract+fulltext,,bow,logreg
prediction,0.6392734080000082,abstract+fulltext,,bow,logreg
classifier_fit,91.81117552400065,abstract+fulltext,,bow,linear_svc
prediction,1.3655318260007334,abstract+fulltext,,bow,linear_svc
classifier_fit,37.896190417999605,abstract+fulltext,,bow,sgd
prediction,0.6338812190006138,abstract+fulltext,,bow,sgd
representation_fit,121.59648574499988,abstract+fulltext,,tfidf,
representation_transform,11.796575837999626,abstract+fulltext,,tfidf,
classifier_fit,58.24298686399925,abstract+fulltext,,tfidf,logreg
prediction,0.6033066780000809,abstract+fulltext,,tfidf,logreg
classifier_fit,14.18640639199839,abstract+fulltext,,tfidf,linear_svc
prediction,1.342247907001365,abstract+fulltext,,tfidf,linear_svc
classifier_fit,8.616312397000002,abstract+fulltext,,tfidf,sgd
prediction,0.589332239000214,abstract+fulltext,,tfidf,sgd
representation_fit,121.35482735499863,abstract+fulltext,,bm25,
representation_transform,11.799517628000103,abstract+fulltext,,bm25,
classifier_fit,104.17194628799916,abstract+fulltext,,bm25,logreg
prediction,0.6041639590002887,abstract+fulltext,,bm25,logreg
classifier_fit,69.06451690299946,abstract+fulltext,,bm25,linear_svc
prediction,1.32587325699933,abstract+fulltext,,bm25,linear_svc
classifier_fit,8.78938959700099,abstract+fulltext,,bm25,sgd
prediction,0.6011389279992727,abstract+fulltext,,bm25,sgd
preprocessing,59.63889110799937,keywords+fulltext,language_stopwords,,
representation_fit,121.74981972000023,keywords+fulltext,,bow,
representation_transform,11.738701587999458,keywords+fulltext,,bow,
classifier_fit,1089.6472302680013,keywords+fulltext,,bow,logreg
prediction,0.6415208279995568,keywords+fulltext,,bow,logreg
classifier_fit,637.3074424200004,keywords+fulltext,,bow,linear_svc
prediction,1.367614885999501,keywords+fulltext,,bow,linear_svc
classifier_fit,38.85352823299945,keywords+fulltext,,bow,sgd
prediction,0.6287439180014189,keywords+fulltext,,bow,sgd
representation_fit,121.20115002199964,keywords+fulltext,,tfidf,
representation_transform,11.702710727000522,keywords+fulltext,,tfidf,
classifier_fit,50.87005008899905,keywords+fulltext,,tfidf,logreg
prediction,0.603931368999838,keywords+fulltext,,tfidf,logreg
classifier_fit,12.532973254999888,keywords+fulltext,,tfidf,linear_svc
prediction,1.340759155998967,keywords+fulltext,,tfidf,linear_svc
classifier_fit,8.567234935999295,keywords+fulltext,,tfidf,sgd
prediction,0.5933761489995959,keywords+fulltext,,tfidf,sgd
representation_fit,121.76666779300103,keywords+fulltext,,bm25,
representation_transform,11.809250186999634,keywords+fulltext,,bm25,
classifier_fit,109.63489247600046,keywords+fulltext,,bm25,logreg
prediction,0.5937399289996392,keywords+fulltext,,bm25,logreg
classifier_fit,1444.1794531369997,keywords+fulltext,,bm25,linear_svc
prediction,1.3333378749994154,keywords+fulltext,,bm25,linear_svc
classifier_fit,8.090344264001033,keywords+fulltext,,bm25,sgd
prediction,0.5830857680011832,keywords+fulltext,,bm25,sgd
preprocessing,61.286869360999845,abstract+keywords+fulltext,language_stopwords,,
representation_fit,123.37700369499908,abstract+keywords+fulltext,,bow,
representation_transform,11.901351737000368,abstract+keywords+fulltext,,bow,
classifier_fit,706.196991656001,abstract+keywords+fulltext,,bow,logreg
prediction,0.6262296389995754,abstract+keywords+fulltext,,bow,logreg
classifier_fit,93.25995404599962,abstract+keywords+fulltext,,bow,linear_svc
prediction,1.3569438270005776,abstract+keywords+fulltext,,bow,linear_svc
classifier_fit,38.29168778199892,abstract+keywords+fulltext,,bow,sgd
prediction,0.6180643579991738,abstract+keywords+fulltext,,bow,sgd
representation_fit,122.39958269700037,abstract+keywords+fulltext,,tfidf,
representation_transform,11.826705076999133,abstract+keywords+fulltext,,tfidf,
classifier_fit,44.671046563000345,abstract+keywords+fulltext,,tfidf,logreg
prediction,0.5998819989999902,abstract+keywords+fulltext,,tfidf,logreg
classifier_fit,11.663118577000205,abstract+keywords+fulltext,,tfidf,linear_svc
prediction,1.339763686999504,abstract+keywords+fulltext,,tfidf,linear_svc
classifier_fit,8.63202861300124,abstract+keywords+fulltext,,tfidf,sgd
prediction,0.5877093589988363,abstract+keywords+fulltext,,tfidf,sgd
representation_fit,123.85541876900061,abstract+keywords+fulltext,,bm25,
representation_transform,11.923298066998541,abstract+keywords+fulltext,,bm25,
classifier_fit,106.17303211299986,abstract+keywords+fulltext,,bm25,logreg
prediction,0.5948379090004892,abstract+keywords+fulltext,,bm25,logreg
classifier_fit,72.82532441799958,abstract+keywords+fulltext,,bm25,linear_svc
prediction,1.3317098879997502,abstract+keywords+fulltext,,bm25,linear_svc
classifier_fit,8.265382983998279,abstract+keywords+fulltext,,bm25,sgd
prediction,0.583632709000085,abstract+keywords+fulltext,,bm25,sgd
representation_transform,51.32943297999918,abstract,,sbert:chunked_length_weighted_mean,
classifier_fit,8.989747392999561,abstract,,sbert:chunked_length_weighted_mean,logreg
prediction,0.5571442780001234,abstract,,sbert:chunked_length_weighted_mean,logreg
classifier_fit,8.383964333999756,abstract,,sbert:chunked_length_weighted_mean,linear_svc
prediction,1.2779607270003908,abstract,,sbert:chunked_length_weighted_mean,linear_svc
classifier_fit,3.018398344000161,abstract,,sbert:chunked_length_weighted_mean,sgd
prediction,0.4568067600012,abstract,,sbert:chunked_length_weighted_mean,sgd
representation_transform,50.960500598999715,abstract,,labse:chunked_length_weighted_mean,
classifier_fit,14.03709067300042,abstract,,labse:chunked_length_weighted_mean,logreg
