language,N,percentage
es,13022,66.0679857940132
mul,4282,21.725012683916795
en,2051,10.405885337392187
pt,180,0.91324200913242
und,115,0.5834601725012684
fr,25,0.12683916793505834
it,12,0.060882800608828
de,8,0.04058853373921867
la,6,0.030441400304414
gl,4,0.020294266869609334
ca,2,0.010147133434804667
an,1,0.0050735667174023336
nl,1,0.0050735667174023336
eo,1,0.0050735667174023336
