field,language,N,evaluable_labels,non_evaluable_labels,f1_micro,f1_macro,precision_at_3,recall_at_3,precision_at_5,recall_at_5
abstract,en,298,23,14,0.7373868046571799,0.3764528550848764,0.37024608501118567,0.9183445190156598,0.23422818791946307,0.959731543624161
abstract,es,1980,37,0,0.7799539170506913,0.7479521306744775,0.38249158249158244,0.9331649831649831,0.23838383838383842,0.9667508417508417
abstract,mul,636,36,1,0.7432351172579675,0.6995918262315914,0.37893081761006286,0.9329140461215931,0.23647798742138362,0.9672431865828092
fulltext,en,295,27,10,0.7369791666666666,0.40291691171713795,0.36836158192090396,0.9175141242937852,0.23322033898305083,0.9576271186440678
fulltext,es,2511,37,0,0.7707923041963339,0.7423527231456687,0.3823178016726404,0.9340900039824771,0.23831142970927915,0.9678746847205629
fulltext,mul,48,21,16,0.7086614173228346,0.4051882367671842,0.3819444444444444,0.9166666666666666,0.24166666666666667,0.96875
fulltext,pt,55,19,18,0.8484848484848485,0.38303698435277383,0.3878787878787877,0.9727272727272728,0.23636363636363628,0.9818181818181818
