phase,preprocessing,feature_set,representation,classifier,fit_warning,label,iterations,max_iter,converged
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Astronomía,69,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Bellas Artes,351,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Bibliotecología,72,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Biología,31,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Agrarias,151,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Astronómicas,26,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Económicas,286,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Exactas,59,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Informáticas,44,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Jurídicas,21,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Médicas,27,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Naturales,31,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Sociales,96209,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Veterinarias,32,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias de la Educación,79,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Comunicación,28,200000,True
